hour,PL,DE,LT,SE
2012-07-26 04:00:00,0.143,0.037,0.156,0.156
2012-07-26 05:00:00,0.177,0.036,0.18,0.166
2012-07-26 06:00:00,0.237,0.04,0.269,0.199
2012-07-26 07:00:00,0.289,0.043,0.363,0.234
2012-07-26 08:00:00,0.291,0.043,0.399,0.255
2012-07-26 09:00:00,0.224,0.039,0.332,0.238
2012-07-26 10:00:00,0.162,0.034,0.238,0.207
2012-07-26 11:00:00,0.135,0.042,0.238,0.183
2012-07-26 12:00:00,0.114,0.049,0.175,0.193
2012-07-26 13:00:00,0.138,0.073,0.143,0.231
2012-07-26 14:00:00,0.163,0.112,0.134,0.246
2012-07-26 15:00:00,0.154,0.188,0.143,0.229
2012-07-26 16:00:00,0.141,0.301,0.137,0.187
2012-07-26 17:00:00,0.174,0.384,0.163,0.158
2012-07-26 18:00:00,0.189,0.396,0.221,0.142
2012-07-26 19:00:00,0.16,0.384,0.247,0.128
2012-07-26 20:00:00,0.114,0.396,0.237,0.094
2012-07-26 21:00:00,0.055,0.414,0.212,0.056
2012-07-26 22:00:00,0.01,0.406,0.157,0.05
2012-07-26 23:00:00,0.0,0.339,0.092,0.06
2012-07-27 00:00:00,0.0,0.327,0.077,0.08
2012-07-27 01:00:00,0.0,0.353,0.05,0.098
2012-07-27 02:00:00,0.0,0.397,0.022,0.134
2012-07-27 03:00:00,0.0,0.437,0.005,0.173
2012-07-27 04:00:00,0.004,0.451,0.001,0.195
2012-07-27 05:00:00,0.009,0.455,0.0,0.202
2012-07-27 06:00:00,0.015,0.431,0.001,0.193
2012-07-27 07:00:00,0.027,0.401,0.013,0.166
2012-07-27 08:00:00,0.037,0.358,0.028,0.133
2012-07-27 09:00:00,0.035,0.322,0.027,0.099
2012-07-27 10:00:00,0.015,0.275,0.012,0.074
2012-07-27 11:00:00,0.009,0.179,0.0,0.034
2012-07-27 12:00:00,0.001,0.121,0.0,0.029
2012-07-27 13:00:00,0.0,0.088,0.0,0.026
2012-07-27 14:00:00,0.0,0.079,0.001,0.021
2012-07-27 15:00:00,0.001,0.088,0.013,0.016
2012-07-27 16:00:00,0.003,0.099,0.027,0.014
2012-07-27 17:00:00,0.007,0.109,0.036,0.014
2012-07-27 18:00:00,0.007,0.119,0.036,0.018
2012-07-27 19:00:00,0.003,0.114,0.032,0.02
2012-07-27 20:00:00,0.001,0.102,0.025,0.024
2012-07-27 21:00:00,0.001,0.087,0.019,0.022
2012-07-27 22:00:00,0.002,0.074,0.021,0.017
2012-07-27 23:00:00,0.009,0.051,0.039,0.014
2012-07-28 00:00:00,0.01,0.04,0.041,0.012
2012-07-28 01:00:00,0.008,0.032,0.047,0.009
2012-07-28 02:00:00,0.008,0.03,0.06,0.008
2012-07-28 03:00:00,0.006,0.031,0.063,0.008
2012-07-28 04:00:00,0.005,0.041,0.058,0.006
2012-07-28 05:00:00,0.003,0.052,0.04,0.004
2012-07-28 06:00:00,0.001,0.074,0.022,0.002
2012-07-28 07:00:00,0.0,0.119,0.009,0.001
2012-07-28 08:00:00,0.0,0.159,0.003,0.002
2012-07-28 09:00:00,0.0,0.162,0.001,0.001
2012-07-28 10:00:00,0.0,0.157,0.0,0.002
2012-07-28 11:00:00,0.0,0.121,0.002,0.001
2012-07-28 12:00:00,0.0,0.106,0.005,0.003
2012-07-28 13:00:00,0.0,0.102,0.011,0.007
2012-07-28 14:00:00,0.003,0.109,0.01,0.015
2012-07-28 15:00:00,0.008,0.078,0.01,0.023
2012-07-28 16:00:00,0.025,0.042,0.009,0.043
2012-07-28 17:00:00,0.053,0.03,0.011,0.069
2012-07-28 18:00:00,0.073,0.035,0.013,0.098
2012-07-28 19:00:00,0.102,0.044,0.016,0.135
2012-07-28 20:00:00,0.17,0.073,0.021,0.187
2012-07-28 21:00:00,0.245,0.119,0.022,0.24
2012-07-28 22:00:00,0.261,0.167,0.02,0.266
2012-07-28 23:00:00,0.308,0.237,0.014,0.322
2012-07-29 00:00:00,0.279,0.273,0.007,0.349
2012-07-29 01:00:00,0.241,0.243,0.007,0.339
2012-07-29 02:00:00,0.225,0.231,0.018,0.302
2012-07-29 03:00:00,0.246,0.247,0.034,0.273
2012-07-29 04:00:00,0.269,0.259,0.068,0.239
2012-07-29 05:00:00,0.28,0.272,0.11,0.241
2012-07-29 06:00:00,0.28,0.299,0.116,0.301
2012-07-29 07:00:00,0.275,0.326,0.133,0.344
2012-07-29 08:00:00,0.285,0.333,0.178,0.352
2012-07-29 09:00:00,0.278,0.364,0.199,0.378
2012-07-29 10:00:00,0.274,0.338,0.242,0.428
2012-07-29 11:00:00,0.359,0.269,0.359,0.58
2012-07-29 12:00:00,0.371,0.213,0.388,0.567
2012-07-29 13:00:00,0.498,0.203,0.337,0.491
2012-07-29 14:00:00,0.485,0.199,0.416,0.476
2012-07-29 15:00:00,0.343,0.221,0.488,0.473
2012-07-29 16:00:00,0.317,0.212,0.471,0.474
2012-07-29 17:00:00,0.223,0.167,0.433,0.538
2012-07-29 18:00:00,0.084,0.138,0.448,0.533
2012-07-29 19:00:00,0.109,0.121,0.279,0.554
2012-07-29 20:00:00,0.168,0.098,0.11,0.507
2012-07-29 21:00:00,0.23,0.07,0.1,0.458
2012-07-29 22:00:00,0.236,0.062,0.118,0.478
